sim_id,alg,task_type,task_level,task_seed,col_chance,task_val
2025-09-09_00:24:01_R_ur5e_N4_AO-_Tbin_s1_l3,"O-(400, 5)",bin,3,1,0.048,1.0
2025-09-09_01:21:35_R_ur5e_N4_AO-_Tbin_s5_l5,"O-(400, 5)",bin,5,5,0.0,0.0
2025-09-09_01:13:57_R_ur5e_N4_AO-_Tbin_s3_l5,"O-(400, 5)",bin,5,3,0.032,3.0
2025-09-09_00:36:07_R_ur5e_N4_AO-_Tbin_s4_l3,"O-(400, 5)",bin,3,4,0.11,1.0
2025-09-09_00:04:26_R_ur5e_N4_AO-_Tbin_s1_l2,"O-(400, 5)",bin,2,1,0.0,3.0
2025-09-09_00:08:20_R_ur5e_N4_AO-_Tbin_s2_l2,"O-(400, 5)",bin,2,2,0.016,4.0
2025-09-09_01:05:36_R_ur5e_N4_AO-_Tbin_s1_l5,"O-(400, 5)",bin,5,1,0.03,0.0
2025-09-09_00:12:15_R_ur5e_N4_AO-_Tbin_s3_l2,"O-(400, 5)",bin,2,3,0.0,2.0
2025-09-09_00:31:47_R_ur5e_N4_AO-_Tbin_s3_l3,"O-(400, 5)",bin,3,3,0.048,1.0
2025-09-08_23:41:17_R_ur5e_N4_ASC_Tbin_s1_l2,"SC(1600, 5)",bin,2,1,0.316,3.0
2025-09-09_00:12:08_R_ur5e_N4_ASC_Tbin_s1_l4,"SC(1600, 5)",bin,4,1,0.028,3.0
2025-09-08_23:53:51_R_ur5e_N4_ASC_Tbin_s0_l3,"SC(1600, 5)",bin,3,0,0.152,4.0
2025-09-08_23:59:02_R_ur5e_N4_ASC_Tbin_s2_l3,"SC(1600, 5)",bin,3,2,0.156,7.0
2025-09-09_00:28:16_R_ur5e_N4_ASC_Tbin_s1_l5,"SC(1600, 5)",bin,5,1,0.176,2.0
2025-09-08_23:24:49_R_ur5e_N4_ASC_Tbin_s1_l1,"SC(1600, 5)",bin,1,1,0.0,3.0
2025-09-08_23:22:28_R_ur5e_N4_ASC_Tbin_s0_l1,"SC(1600, 5)",bin,1,0,0.048,1.0
2025-09-08_23:27:32_R_ur5e_N4_ASC_Tbin_s2_l1,"SC(1600, 5)",bin,1,2,0.0,4.0
2025-09-08_23:43:41_R_ur5e_N4_ASC_Tbin_s2_l2,"SC(1600, 5)",bin,2,2,0.112,4.0
2025-09-09_00:15:26_R_ur5e_N4_ASC_Tbin_s2_l4,"SC(1600, 5)",bin,4,2,0.152,4.0
2025-09-09_00:22:58_R_ur5e_N4_ASC_Tbin_s5_l4,"SC(1600, 5)",bin,4,5,0.004,2.0
2025-09-09_00:33:37_R_ur5e_N4_ASC_Tbin_s3_l5,"SC(1600, 5)",bin,5,3,0.104,0.0
2025-09-09_00:08:54_R_ur5e_N4_ASC_Tbin_s0_l4,"SC(1600, 5)",bin,4,0,0.012,3.0
2025-09-09_00:38:26_R_ur5e_N4_ASC_Tbin_s5_l5,"SC(1600, 5)",bin,5,5,0.092,7.0
2025-09-08_23:30:22_R_ur5e_N4_ASC_Tbin_s3_l1,"SC(1600, 5)",bin,1,3,0.0,5.0
2025-09-08_23:33:07_R_ur5e_N4_ASC_Tbin_s4_l1,"SC(1600, 5)",bin,1,4,0.0,3.0
2025-09-09_00:20:31_R_ur5e_N4_ASC_Tbin_s4_l4,"SC(1600, 5)",bin,4,4,0.076,6.0
2025-09-08_23:37:57_R_ur5e_N4_ASC_Tbin_s0_l2,"SC(1600, 5)",bin,2,0,0.012,8.0
2025-09-09_00:01:18_R_ur5e_N4_ASC_Tbin_s3_l3,"SC(1600, 5)",bin,3,3,0.212,0.0
2025-09-08_23:51:22_R_ur5e_N4_ASC_Tbin_s5_l2,"SC(1600, 5)",bin,2,5,0.004,6.0
2025-09-09_00:35:59_R_ur5e_N4_ASC_Tbin_s4_l5,"SC(1600, 5)",bin,5,4,0.052,7.0
2025-09-09_00:06:13_R_ur5e_N4_ASC_Tbin_s5_l3,"SC(1600, 5)",bin,3,5,0.14,7.0
2025-09-09_00:25:18_R_ur5e_N4_ASC_Tbin_s0_l5,"SC(1600, 5)",bin,5,0,0.08,4.0
2025-09-09_00:03:57_R_ur5e_N4_ASC_Tbin_s4_l3,"SC(1600, 5)",bin,3,4,0.104,6.0
2025-09-08_23:35:46_R_ur5e_N4_ASC_Tbin_s5_l1,"SC(1600, 5)",bin,1,5,0.0,5.0
2025-09-09_00:18:13_R_ur5e_N4_ASC_Tbin_s3_l4,"SC(1600, 5)",bin,4,3,0.016,8.0
2025-09-08_23:46:10_R_ur5e_N4_ASC_Tbin_s3_l2,"SC(1600, 5)",bin,2,3,0.032,6.0
2025-09-09_00:31:10_R_ur5e_N4_ASC_Tbin_s2_l5,"SC(1600, 5)",bin,5,2,0.144,6.0
2025-09-08_23:48:29_R_ur5e_N4_ASC_Tbin_s4_l2,"SC(1600, 5)",bin,2,4,0.08,6.0
2025-09-08_23:56:33_R_ur5e_N4_ASC_Tbin_s1_l3,"SC(1600, 5)",bin,3,1,0.212,0.0
2025-09-08_23:52:22_R_ur5e_N4_ASC_Tbin_s3_l5,"SC(400, 5)",bin,5,3,0.204,1.0
2025-09-08_23:06:37_R_ur5e_N4_ASC_Tbin_s2_l2,"SC(400, 5)",bin,2,2,0.008,3.0
2025-09-08_22:50:42_R_ur5e_N4_ASC_Tbin_s1_l1,"SC(400, 5)",bin,1,1,0.008,1.0
2025-09-08_23:57:03_R_ur5e_N4_ASC_Tbin_s5_l5,"SC(400, 5)",bin,5,5,0.072,5.0
2025-09-08_23:16:11_R_ur5e_N4_ASC_Tbin_s0_l3,"SC(400, 5)",bin,3,0,0.0,3.0
2025-09-08_23:33:37_R_ur5e_N4_ASC_Tbin_s1_l4,"SC(400, 5)",bin,4,1,0.008,2.0
2025-09-08_22:57:03_R_ur5e_N4_ASC_Tbin_s4_l1,"SC(400, 5)",bin,1,4,0.008,1.0
2025-09-08_22:52:46_R_ur5e_N4_ASC_Tbin_s2_l1,"SC(400, 5)",bin,1,2,0.0,2.0
2025-09-08_23:40:58_R_ur5e_N4_ASC_Tbin_s4_l4,"SC(400, 5)",bin,4,4,0.012,1.0
2025-09-08_23:23:53_R_ur5e_N4_ASC_Tbin_s3_l3,"SC(400, 5)",bin,3,3,0.204,1.0
2025-09-08_22:48:40_R_ur5e_N4_ASC_Tbin_s0_l1,"SC(400, 5)",bin,1,0,0.0,2.0
2025-09-08_23:26:24_R_ur5e_N4_ASC_Tbin_s4_l3,"SC(400, 5)",bin,3,4,0.012,1.0
2025-09-08_23:11:17_R_ur5e_N4_ASC_Tbin_s4_l2,"SC(400, 5)",bin,2,4,0.012,1.0
2025-09-08_23:14:01_R_ur5e_N4_ASC_Tbin_s5_l2,"SC(400, 5)",bin,2,5,0.004,5.0
2025-09-08_22:54:49_R_ur5e_N4_ASC_Tbin_s3_l1,"SC(400, 5)",bin,1,3,0.008,1.0
2025-09-08_23:38:46_R_ur5e_N4_ASC_Tbin_s3_l4,"SC(400, 5)",bin,4,3,0.036,1.0
2025-09-08_23:31:09_R_ur5e_N4_ASC_Tbin_s0_l4,"SC(400, 5)",bin,4,0,0.1,1.0
2025-09-08_23:49:54_R_ur5e_N4_ASC_Tbin_s2_l5,"SC(400, 5)",bin,5,2,0.004,1.0
2025-09-08_23:18:19_R_ur5e_N4_ASC_Tbin_s1_l3,"SC(400, 5)",bin,3,1,0.1,1.0
2025-09-08_23:35:45_R_ur5e_N4_ASC_Tbin_s2_l4,"SC(400, 5)",bin,4,2,0.0,2.0
2025-09-08_23:09:09_R_ur5e_N4_ASC_Tbin_s3_l2,"SC(400, 5)",bin,2,3,0.036,1.0
2025-09-08_23:04:15_R_ur5e_N4_ASC_Tbin_s1_l2,"SC(400, 5)",bin,2,1,0.008,2.0
2025-09-08_22:59:16_R_ur5e_N4_ASC_Tbin_s5_l1,"SC(400, 5)",bin,1,5,0.1,1.0
2025-09-08_23:43:06_R_ur5e_N4_ASC_Tbin_s5_l4,"SC(400, 5)",bin,4,5,0.004,4.0
2025-09-08_23:54:30_R_ur5e_N4_ASC_Tbin_s4_l5,"SC(400, 5)",bin,5,4,0.012,1.0
2025-09-08_23:28:58_R_ur5e_N4_ASC_Tbin_s5_l3,"SC(400, 5)",bin,3,5,0.088,2.0
2025-09-08_23:01:56_R_ur5e_N4_ASC_Tbin_s0_l2,"SC(400, 5)",bin,2,0,0.08,2.0
2025-09-08_23:45:12_R_ur5e_N4_ASC_Tbin_s0_l5,"SC(400, 5)",bin,5,0,0.076,2.0
2025-09-08_23:47:16_R_ur5e_N4_ASC_Tbin_s1_l5,"SC(400, 5)",bin,5,1,0.116,1.0
2025-09-08_23:20:53_R_ur5e_N4_ASC_Tbin_s2_l3,"SC(400, 5)",bin,3,2,0.14,1.0
2025-09-07_01:47:34_R_ur5e_N4_ASD_Tbin_s2_l2,"SD(400, 5)",bin,2,2,0.188,7.0
2025-09-07_01:55:17_R_ur5e_N4_ASD_Tbin_s1_l3,"SD(400, 5)",bin,3,1,0.122,12.0
2025-09-07_01:58:59_R_ur5e_N4_ASD_Tbin_s2_l3,"SD(400, 5)",bin,3,2,0.212,9.0
2025-09-07_02:21:09_R_ur5e_N4_ASD_Tbin_s2_l5,"SD(400, 5)",bin,5,2,0.182,10.0
2025-09-07_02:02:32_R_ur5e_N4_ASD_Tbin_s0_l4,"SD(400, 5)",bin,4,0,0.138,10.0
2025-09-07_02:06:05_R_ur5e_N4_ASD_Tbin_s1_l4,"SD(400, 5)",bin,4,1,0.414,5.0
2025-09-07_01:51:28_R_ur5e_N4_ASD_Tbin_s0_l3,"SD(400, 5)",bin,3,0,0.726,6.0
2025-09-07_02:09:49_R_ur5e_N4_ASD_Tbin_s2_l4,"SD(400, 5)",bin,4,2,0.092,9.0
2025-09-07_02:17:22_R_ur5e_N4_ASD_Tbin_s1_l5,"SD(400, 5)",bin,5,1,0.854,3.0
2025-09-07_01:43:45_R_ur5e_N4_ASD_Tbin_s1_l2,"SD(400, 5)",bin,2,1,0.072,7.0
2025-09-07_01:29:01_R_ur5e_N4_ASD_Tbin_s0_l1,"SD(400, 5)",bin,1,0,0.0,3.0
2025-09-07_02:13:41_R_ur5e_N4_ASD_Tbin_s0_l5,"SD(400, 5)",bin,5,0,0.202,11.0
2025-09-07_01:40:03_R_ur5e_N4_ASD_Tbin_s0_l2,"SD(400, 5)",bin,2,0,0.626,5.0
2025-09-07_01:36:27_R_ur5e_N4_ASD_Tbin_s2_l1,"SD(400, 5)",bin,1,2,0.0,4.0
2025-09-07_01:32:43_R_ur5e_N4_ASD_Tbin_s1_l1,"SD(400, 5)",bin,1,1,0.0,3.0
2025-09-08_21:20:34_R_ur5e_N4_ASD_Tbin_s5_l5,"SD(400, 5)",bin,5,5,0.318,8.0
2025-09-08_21:00:42_R_ur5e_N4_ASD_Tbin_s3_l4,"SD(400, 5)",bin,4,3,0.856,0.0
2025-09-08_20:48:04_R_ur5e_N4_ASD_Tbin_s3_l3,"SD(400, 5)",bin,3,3,0.394,10.0
2025-09-08_20:39:18_R_ur5e_N4_ASD_Tbin_s4_l2,"SD(400, 5)",bin,2,4,0.02,9.0
2025-09-08_20:35:24_R_ur5e_N4_ASD_Tbin_s3_l2,"SD(400, 5)",bin,2,3,0.354,8.0
2025-09-08_20:31:27_R_ur5e_N4_ASD_Tbin_s5_l1,"SD(400, 5)",bin,1,5,0.0,3.0
2025-09-08_20:52:27_R_ur5e_N4_ASD_Tbin_s4_l3,"SD(400, 5)",bin,3,4,0.022,13.0
2025-09-08_20:23:31_R_ur5e_N4_ASD_Tbin_s3_l1,"SD(400, 5)",bin,1,3,0.0,3.0
2025-09-08_20:56:49_R_ur5e_N4_ASD_Tbin_s5_l3,"SD(400, 5)",bin,3,5,0.056,8.0
2025-09-08_20:27:35_R_ur5e_N4_ASD_Tbin_s4_l1,"SD(400, 5)",bin,1,4,0.0,6.0
2025-09-08_21:16:44_R_ur5e_N4_ASD_Tbin_s4_l5,"SD(400, 5)",bin,5,4,0.022,10.0
2025-09-08_21:04:56_R_ur5e_N4_ASD_Tbin_s4_l4,"SD(400, 5)",bin,4,4,0.0,8.0
2025-09-08_21:13:06_R_ur5e_N4_ASD_Tbin_s3_l5,"SD(400, 5)",bin,5,3,0.856,3.0
2025-09-08_21:08:52_R_ur5e_N4_ASD_Tbin_s5_l4,"SD(400, 5)",bin,4,5,0.214,7.0
2025-09-08_20:43:14_R_ur5e_N4_ASD_Tbin_s5_l2,"SD(400, 5)",bin,2,5,0.05,8.0
2025-09-09_08:55:48_R_ur5e_N4_ACC_Tbin_s5_l3,CC(1000),bin,3,5,0.0,0.0
2025-09-09_09:03:59_R_ur5e_N4_ACC_Tbin_s3_l4,CC(1000),bin,4,3,0.0,0.0
2025-09-09_09:07:56_R_ur5e_N4_ACC_Tbin_s5_l4,CC(1000),bin,4,5,0.0,0.0
2025-09-09_09:10:07_R_ur5e_N4_ACC_Tbin_s0_l5,CC(1000),bin,5,0,0.0,0.0
2025-09-09_09:01:59_R_ur5e_N4_ACC_Tbin_s2_l4,CC(1000),bin,4,2,0.0,0.0
2025-09-09_08:28:09_R_ur5e_N4_ACC_Tbin_s3_l1,CC(1000),bin,1,3,0.0,2.0
2025-09-09_09:00:11_R_ur5e_N4_ACC_Tbin_s1_l4,CC(1000),bin,4,1,0.4,1.0
2025-09-09_08:45:40_R_ur5e_N4_ACC_Tbin_s0_l3,CC(1000),bin,3,0,0.0,0.0
2025-09-09_08:39:29_R_ur5e_N4_ACC_Tbin_s3_l2,CC(1000),bin,2,3,0.0,0.0
2025-09-09_08:49:44_R_ur5e_N4_ACC_Tbin_s2_l3,CC(1000),bin,3,2,0.0,0.0
2025-09-09_08:51:48_R_ur5e_N4_ACC_Tbin_s3_l3,CC(1000),bin,3,3,0.0,0.0
2025-09-09_08:41:31_R_ur5e_N4_ACC_Tbin_s4_l2,CC(1000),bin,2,4,0.0,1.0
2025-09-09_08:31:45_R_ur5e_N4_ACC_Tbin_s5_l1,CC(1000),bin,1,5,0.0,2.0
2025-09-09_08:58:01_R_ur5e_N4_ACC_Tbin_s0_l4,CC(1000),bin,4,0,0.0,0.0
2025-09-09_08:37:23_R_ur5e_N4_ACC_Tbin_s2_l2,CC(1000),bin,2,2,0.0,0.0
2025-09-09_08:22:34_R_ur5e_N4_ACC_Tbin_s0_l1,CC(1000),bin,1,0,0.0,2.0
2025-09-09_08:35:23_R_ur5e_N4_ACC_Tbin_s1_l2,CC(1000),bin,2,1,0.0,0.0
2025-09-09_09:20:15_R_ur5e_N4_ACC_Tbin_s5_l5,CC(1000),bin,5,5,0.0,0.0
2025-09-09_09:12:17_R_ur5e_N4_ACC_Tbin_s1_l5,CC(1000),bin,5,1,0.0,0.0
2025-09-09_09:16:12_R_ur5e_N4_ACC_Tbin_s3_l5,CC(1000),bin,5,3,0.0,0.0
2025-09-09_08:47:34_R_ur5e_N4_ACC_Tbin_s1_l3,CC(1000),bin,3,1,0.0,0.0
2025-09-09_09:14:17_R_ur5e_N4_ACC_Tbin_s2_l5,CC(1000),bin,5,2,0.0,0.0
2025-09-09_08:29:59_R_ur5e_N4_ACC_Tbin_s4_l1,CC(1000),bin,1,4,0.0,2.0
2025-09-09_08:43:22_R_ur5e_N4_ACC_Tbin_s5_l2,CC(1000),bin,2,5,0.0,0.0
2025-09-09_08:33:34_R_ur5e_N4_ACC_Tbin_s0_l2,CC(1000),bin,2,0,0.0,1.0
2025-09-09_09:18:23_R_ur5e_N4_ACC_Tbin_s4_l5,CC(1000),bin,5,4,0.0,0.0
