task_type,task_level,alg,normalized_task_val_mean,normalized_task_val_std,normalized_col_chance_mean,normalized_col_chance_std,count
reach_hard,2,"O(400, 5)",0.582,0.241,0.015,0.025,6
reach_hard,2,"O-(400, 5)",0.158,0.112,0.046,0.074,6
reach_hard,2,"SC(1600, 5)",0.465,0.353,0.283,0.141,6
reach_hard,2,"SC(400, 5)",0.2,0.136,0.246,0.161,6
reach_hard,2,"SD(400, 5)",0.915,0.152,1.0,0.0,6
reach_hard,3,CC(1000),0.0,0.0,0.0,0.0,6
reach_hard,3,CC(500),0.0,0.0,0.0,0.0,6
reach_hard,3,"O(400, 1)",0.588,0.145,0.015,0.019,6
reach_hard,3,"O(400, 5)",0.533,0.239,0.029,0.047,6
reach_hard,3,"O-(400, 5)",0.164,0.104,0.158,0.122,6
reach_hard,3,"SC(1600, 5)",0.443,0.198,0.327,0.226,6
reach_hard,3,"SC(400, 5)",0.228,0.21,0.301,0.289,6
reach_hard,3,"SD(400, 5)",1.0,0.0,1.0,0.0,6
reach_hard,4,CC(1000),0.0,0.0,0.647,0.233,6
reach_hard,4,CC(500),0.0,0.0,0.647,0.233,6
reach_hard,4,"O(400, 1)",0.611,0.249,0.088,0.106,6
reach_hard,4,"O(400, 5)",0.612,0.112,0.013,0.02,6
reach_hard,4,"O-(400, 5)",0.144,0.098,0.161,0.183,6
reach_hard,4,"SC(1600, 5)",0.37,0.167,0.422,0.328,6
reach_hard,4,"SC(400, 5)",0.177,0.151,0.343,0.198,6
reach_hard,4,"SD(400, 5)",1.0,0.0,0.935,0.106,6
reach_hard,5,CC(1000),0.0,0.0,0.79,0.205,6
reach_hard,5,CC(500),0.0,0.0,0.79,0.205,6
reach_hard,5,"O(400, 1)",0.57,0.114,0.168,0.175,6
reach_hard,5,"O(400, 5)",0.45,0.122,0.174,0.392,6
reach_hard,5,"O-(400, 5)",0.134,0.106,0.168,0.155,6
reach_hard,5,"SC(1600, 5)",0.415,0.371,0.361,0.115,6
reach_hard,5,"SC(400, 5)",0.153,0.173,0.622,0.34,6
reach_hard,5,"SD(400, 5)",0.936,0.157,0.85,0.241,6
