alg,task_type,task_level,n_arms,wsteps,tplanning_moaw,ctrl_freq_moaw,sim_clocktime,sim_physics_time
"SC(400, 5)",reach,9,4,500,0.055433950424194335,18.039486494246795,65.47825717926025,4.150000216439366
"SC(400, 5)",reach,10,4,500,0.043824326038360596,22.818377152558455,60.69311451911926,4.150000216439366
"SC(400, 5)",reach,4,4,500,0.04702933692932129,21.263323391160377,60.28807306289673,4.150000216439366
"SC(400, 5)",reach,2,4,500,0.05093297243118286,19.63364697301206,57.23912000656128,4.150000216439366
"SC(400, 5)",reach,10,4,500,0.06672546434402465,14.986782180250968,69.58907747268677,4.150000216439366
"SC(400, 5)",reach,7,4,500,0.052974984645843506,18.876834163999355,57.5802104473114,4.150000216439366
"SC(400, 5)",reach,3,4,500,0.05567673444747925,17.96082349160251,62.432308197021484,4.150000216439366
"SC(400, 5)",reach,7,4,500,0.04855767488479614,20.59406679525978,57.17728114128113,4.150000216439366
"SC(400, 5)",reach,1,4,500,0.04011013126373291,24.931356953802535,45.92657470703125,4.150000216439366
"SC(400, 5)",reach,6,4,500,0.040207302570343016,24.87110390582635,44.749677419662476,4.150000216439366
"SC(400, 5)",reach,4,4,500,0.04800558042526245,20.83091155531077,61.16453552246094,4.150000216439366
"SC(400, 5)",reach,6,4,500,0.04289679956436157,23.311762419469506,46.088298320770264,4.150000216439366
"SC(400, 5)",reach,5,4,500,0.05282660627365112,18.929855058638896,66.54739785194397,4.150000216439366
"SC(400, 5)",reach,2,4,500,0.04984384298324585,20.06265849798405,58.26874089241028,4.150000216439366
"SC(400, 5)",reach,5,4,500,0.052436594009399415,19.070651305474705,62.951337575912476,4.150000216439366
"SC(400, 5)",reach,9,4,500,0.048602628231048585,20.57501901432513,61.70070290565491,4.150000216439366
"SC(400, 5)",reach,1,4,500,0.042965179920196536,23.274661059429953,47.1290545463562,4.150000216439366
"SC(400, 5)",reach,8,4,500,0.05337270641326904,18.73616811291003,60.44735312461853,4.150000216439366
"SC(400, 5)",reach,9,4,500,0.055169180393219,18.126062284639502,65.46689677238464,4.150000216439366
"SC(400, 5)",reach,8,4,500,0.062072422504425045,16.11021383817768,65.25602746009827,4.150000216439366
